title,type,address,rating
The Rooms Boutique Hotel ,Гостинично-ресторанный комплекс,"​Николоямская улица, 38/23 ст3, Москва",4.6
Palmira Business Club ,Гостиница,"​Новоданиловская набережная, 6 к2, Москва",4.7
YE`S Technopark ,Апарт-отель,"​Проспект Андропова, вл10, Москва",4.4
Diamond Apartments ,Гостиница,"​Башня ОКО, 1-й Красногвардейский проезд, 21 ст2, Москва",4.8
Маросейка 2/15 ,Отель,"​Улица Маросейка, 2/15 ст1, Москва",4.8
Д`Отель ВДНХ ,Гостиница,"​Улица Ярославская, 8 к8, Москва",4.7
Sunflower Avenue ,Отель,"​Улица Щепкина, 32 ст1, Москва",4.8
SunFlower Парк ,Гостиница,"​Кировоградская улица, 11, Москва",4.5
Ibis Москва аэропорт Домодедово ,Гостиницы,"​Москва-аэропорт Домодедово 40 км, 3, Домодедово городской округ, Московская область",4.3
Арт Москва Войковская ,Отель,"​Улица Космонавта Волкова, 6а, Москва",4.5
Sunflower Rumyantsevo ,Отель,"​22 километр Киевское шоссе, вл4 ст5, Москва",4.1
Апельсин ,Официальная сеть мини-отелей,"​Кутузовский проспект, 35, Москва",4.2
Лесная Сафмар ,Гостиницы,"​Улица Лесная, 15, Москва",4.5
La Maison Hotel ,Отель,"​Улица Большая Дмитровка, 13, Москва",3.6
Сущевский Сафмар ,Гостиницы,"​Улица Сущёвский Вал, 74, Москва",4.4
Садовническая ,Гостиница,"​Садовническая улица, 20 ст1, Москва",4.3
Сафмар Палас Москва ,Отель,"​1-я Тверская-Ямская улица, 19, Москва",4.4
Националь ,Отель,"​Улица Моховая, 15/1 ст1, Москва",4.6
Moscow Marriott Royal Aurora Hotel ,Гостиница,"​Улица Петровка, 11, Москва",4.8
Марриотт Тверская ,Отель,"​1-я Тверская-Ямская улица, 34, Москва",4.3
Марриотт Гранд отель ,Гостиницы,"​Тверская улица, 26/1, Москва",4.4
Viewpoint Hotel ,Гостиницы,"​Садовническая набережная, 7, Москва",4.2
Усадьба Гребнево ,Базы отдыха,"​Усадьба Гребнево, ст1, д. Гребнево, Щёлково городской округ, Московская область",4.5
Вега Измайлово ,Отель,"​Измайловское шоссе, 71 к3в, Москва",4.5
Президент-Отель ,Гостиничный комплекс,"​Улица Большая Якиманка, 24, Москва",4.6
Design Hotel Senator ,Гостиницы,"​Лубянский проезд, 7 ст1, Москва",4.6
Chekhoff hotel Moscow curio collection by Hilton ,Отель,"​Улица Малая Дмитровка, 11, Москва",4.7
Radisson Blu Leninsky Prospect Hotel Moscow ,Гостиница,"​Ленинский проспект, 90/3, Москва",4.9
Desing-hotel Tchaikovsky ,Дизайн-отель,"​Большая Садовая улица, 2/46 ст1, Москва",4.7
Шерстон ,Апарт-отель,"​Гостиничный проезд, 8 к1, Москва",4.7
Ярославская ,Гостиница,"​Улица Ярославская, 8 к1, Москва",4.6
B.60 Hotel ,Гостиницы,"​1-я Брестская улица, 60, Москва",4.8
Sheraton Skypoint Luxe Hotel ,Гостиницы,"​Международное шоссе, 28Б ст5, Москва",4.2
Pana white Moscow ,Гостиница,"​Переведеновский переулок, 2а, Москва",4.9
Чемодановъ ,Бутик-отель,"​Улица Покровка, 2/1 ст1, Москва",4.6
Holiday Express Moscow Sheremetyevo Airport ,Отель,"​Международное шоссе, вл1в, Химки, Московская область",4.8
Хитровка ,Гостиница,"​Певческий переулок, 4, Москва",4.4
Шереметьево ,Отель,"​Улица Запрудная, 29Б, д. Исаково, Химки городской округ, Московская область",3.4
ApeironSpace ,Гостиницы,"​Раушская набережная, 4/5 ст1, Москва",5.0
11 rooms ,Гостиница,"​Улица 1905 года, 2 ст1, Москва",
ХАНОЙ-МОСКВА ,Апарт-отель,"​Ярославское шоссе, 146 к2, Москва",4.4
Билибин гарден ,Отель,"​Садовническая улица, 5, Москва",4.6
A.Kosterev ,Отель,"​Тверская улица, 9а ст5, Москва",4.7
Фили Хаус ,Гостиницы,"​Тучковская улица, 11 к2, Москва",4.5
Ключевой Элемент ,Гостиница,"​Улица Большая Никитская, 24/1 ст5, Москва",4.8
Satelinn Moscow Khovrino ,Гостиница,"​Левобережная улица, 12, Москва",4.8
Борис Годунов ,Отель,"​Нижний Кисельный переулок, 4, Москва",4.5
Тверская 5 ,Отель,"​Тверская улица, 5/6, Москва",4.8
Авиатор Шереметьево ,Отель,"​Международное шоссе, вл5а, Химки, Московская область",4.5
Park Inn by Radisson Moscow Odintsovo ,Гостиница,"​Улица Маршала Неделина, 8, Одинцово, Московская область",4.3
Radisson Blu Olympiyskiy Hotel Moscow ,Гостиница,"​Самарская улица, 1, Москва",4.7
Алеон ,Гостиница,"​Улица Валовая, 32/75 ст1, Москва",4.9
Mamaison All-Suites Spa Hotel Pokrovka Moscow ,Гостиничный комплекс,"​Улица Покровка, 40 ст2, Москва",4.3
Арт Галактика ,Мини-отель,"​Садовая-Каретная улица, 20 ст3, Москва",3.1
Nord inn ,Отель,"​3-я улица Ямского Поля, 20 ст2, Москва",4.4
Radisson Blu Belorusskaya Hotel Moscow ,Гостиницы,"​3-я улица Ямского Поля, 26а, Москва",4.3
Radisson Collection Hotel Moscow ,Гостиничный комплекс,"​Кутузовский проспект, 2/1 ст1, Москва",4.6
Novotel Москва Аэропорт Шереметьево ,Гостиницы,"​Аэропорт Шереметьево, 2 вл3, Долгопрудный городской округ, Московская область",4.6
Radisson Slavyanskaya Hotel Moscow ,Гостиница,"​Площадь Европы, 2, Москва",4.5
Q-Block ,Капсульный отель,"​Большой Тишинский переулок, 8 ст2, Москва",4.5
Герцена ,Мини-гостиница,"​Улица Беговая, 11, Москва",4.7
Palmira Garden Hotel&SPA ,Гостиницы,"​Школьная улица, 92, Видное, Московская область",4.6
Старборт ,Гостиница,"​Большая Тульская улица, 2, Москва",4.9
Hotel-city ,Отель Dis,"​Ново-Никольская улица, 38а, Красногорск, Московская область",2.5
Хостелы-Рус Багратион ,Хостел,"​Кутузовский проспект, 22, Москва",4.5
Центр международной торговли ,Многопрофильный бизнес-комплекс,"​Краснопресненская набережная, 12, Москва",4.4
Four Seasons Hotel Moscow ,Отель,"​Улица Охотный Ряд, 2, Москва",3.9
Novotel Moscow City ,Гостиницы,"​Афимолл Сити, Пресненская набережная, 2, Москва",4.5
Бета ,Туристический гостиничный комплекс,"​Измайловское шоссе, 71 к2Б, Москва",4.1
Hilton Moscow Leningradskaya ,Гостиница,"​Каланчёвская улица, 21/40, Москва",4.4
Альянс Бородино ,Отель,"​Русаковская улица, 13 ст5, Москва",4.5
Измайловский парк ,Отель,"​Улица Щербаковская, 57а, Москва",4.7
Звезды Арбата ,Отель,"​Улица Новый Арбат, 32, Москва",4.4
"The Carlton, Moscow ",Гостиница,"​Тверская улица, 3, Москва",4.5
Монарх Москва ,Отель,"​МФК Монарх, Ленинградский проспект, 31а ст1, Москва",4.4
Марриотт Империал Плаза ,Гостиницы,"​Улица Краснопрудная, вл12 ст1, Москва",4.4
Cosmos smart Dubininskaya ,Отель,"​Дубининская улица, 33в, Москва",4.7
Ibis Москва Динамо ,Гостиницы,"​Ленинградский проспект, 37 к8, Москва",4.4
Cosmos Moscow Paveletskaya ,Гостиница,"​Улица Кожевническая, 8 ст3, Москва",4.7
